id,prediction,rationale
95,0,"STATE COLLISION: Claim [Learning that Villefort meant to denounce him to L...] asserts [State A]. Novel Chapter [XVIII.] documents [State B] ('gnance. When the reading was finished, he remained silent, with
knitted brows.

“‘“Well,” asked the ...'). Since [State A] and [State B] are causally exclusive in the narrative timeline, the backstory is disproven. (Score: 0.89)"
136,1,Consistent with canon.
59,1,Consistent with canon.
60,0,"STATE COLLISION: Claim [First rescue: in 1852 an avalanche buried a silver...] asserts [State A]. Novel Chapter [d.] documents [State B] ('s not mistaken as to the meaning of these
words. ""Bad beasts--frightened--Thaouka--good horse.""

""Ve...'). Since [State A] and [State B] are causally exclusive in the narrative timeline, the backstory is disproven. (Score: 0.90)"
124,1,Consistent with canon.
111,1,Consistent with canon.
135,1,Consistent with canon.
27,1,Consistent with canon.
110,1,Consistent with canon.
42,1,Consistent with canon.
56,1,Consistent with canon.
80,1,Consistent with canon.
28,1,Consistent with canon.
101,1,Consistent with canon.
91,1,Consistent with canon.
24,1,Consistent with canon.
119,1,Consistent with canon.
93,1,Consistent with canon.
72,1,Consistent with canon.
16,1,Consistent with canon.
30,1,Consistent with canon.
97,1,Consistent with canon.
22,1,Consistent with canon.
53,1,Consistent with canon.
58,1,Consistent with canon.
81,1,Consistent with canon.
47,1,Consistent with canon.
7,1,Consistent with canon.
121,0,"STATE COLLISION: Claim [Aboard the prison transport he met Edmond Dantès’ ...] asserts [State A]. Novel Chapter [im.] documents [State B] ('e jailer,
had come in person to see him.

Faria sat up to receive him, avoiding all gestures in orde...'). Since [State A] and [State B] are causally exclusive in the narrative timeline, the backstory is disproven. (Score: 0.94)"
129,1,Consistent with canon.
51,1,Consistent with canon.
127,1,Consistent with canon.
133,0,"STATE COLLISION: Claim [University lectures on Enlightenment science convi...] asserts [State A]. Novel Chapter [im.] documents [State B] ('e jailer,
had come in person to see him.

Faria sat up to receive him, avoiding all gestures in orde...'). Since [State A] and [State B] are causally exclusive in the narrative timeline, the backstory is disproven. (Score: 0.95)"
52,1,Consistent with canon.
114,1,Consistent with canon.
2,1,Consistent with canon.
33,1,Consistent with canon.
15,1,Consistent with canon.
82,0,"STATE COLLISION: Claim [Captured at sixteen, he gnawed fish-bones to stay ...] asserts [State A]. Novel Chapter [d.] documents [State B] (' controlled himself, trembled
with rage, and his countenance was flushed with a fierce exultation.
T...'). Since [State A] and [State B] are causally exclusive in the narrative timeline, the backstory is disproven. (Score: 0.97)"
37,1,Consistent with canon.
3,1,Consistent with canon.
103,0,"STATE COLLISION: Claim [As Napoleon climbed toward dictatorship Noirtier d...] asserts [State A]. Novel Chapter [im.] documents [State B] (', cool and collected, by two or
three ill-looking men at the corner of the street, who were there,
p...'). Since [State A] and [State B] are causally exclusive in the narrative timeline, the backstory is disproven. (Score: 0.88)"
94,1,Consistent with canon.
85,1,Consistent with canon.
21,1,Consistent with canon.
49,1,Consistent with canon.
140,1,Consistent with canon.
64,1,Consistent with canon.
131,1,Consistent with canon.
61,1,Consistent with canon.
86,1,Consistent with canon.
38,1,Consistent with canon.
132,1,Consistent with canon.
77,1,Consistent with canon.
70,1,Consistent with canon.
115,1,Consistent with canon.
78,1,Consistent with canon.
87,1,Consistent with canon.
75,1,Consistent with canon.
44,1,Consistent with canon.
